丶丶,OdOd	⺀
亻龠,HrFl	㒢
亻广亻隹心,HrBgHrLx	㒣
亻耳耳耳,HrVeVeVe	㒤
亻山丰丰豆,HrUsJfGd	㒥
亻田田田土,HrCtCtEt	㒦
亻亠㐅凵禸隹,HrLtEiMi	㒧
亻丿龱大巳,HrYjTpVs	㒨
亻彑虫虫,HrWjHsVc	㒩
人臣臣止豕,HrEcEcHs	㒪
儿,WjRe	㒫
二儿王,NeReRw	㒬
口儿口儿,KkReKkRe	㒭
二儿豕,NeReHs	㒮
光艹艹,WgZcOsZc	㒯
入工,VuLg	㒰
入夕,VuVx	㒱
入日,VuUr	㒲
冂丨入入,JkHsVuVu	㒳
入屮凵,VuMcJk	㒴
白八,JbNb	㒵
八白,NbJb	㒶
冂人,JkHrNb	㒷
丷豕,NbHs	㒸
十目十目,PsEmNbNb	㒹
冂䒑亾,JkNbNw	㒺
⺜見,UrDj	㒻
廿冂丨入入,PnJkHsVu	㒼
⺜丷夫⺋,UrNbGfWj	㒽
⺜方𠂉也,UrMfStEy	㒾
⺜亠㐅凵禸隹,UrLtEiMi	㒿
冖卜,GgFb	㓀
冖八,GgNb	㓁
冖二儿女,GgNeReWn	㓂
冖言丿七,GgDyTpCq	㓃
厶厶厶人彡冖儿,IsIsIsRe	㓄
冫丁,GbPd	㓅
冫仑,GbNl	㓆
冫丿大,GbTpId	㓇
冫石,GbDs	㓈
冫舌,GbWs	㓉
冫冂一口,GbJkDiKk	㓊
冫龷八,GbPnNb	㓋
冫人王,GbHrRw	㓌
冫儿,GbZyRe	㓍
冫彐冖又,GbWjGgTy	㓎
冫冂八口,GbJkNbKk	㓏
冫土八土,GbEtNbEt	㓐
冫土,GbEtSy	㓑
冫七人⺗,GbCqHrLx	㓒
冫十冂,GbPsJkSy	㓓
冫身寸,GbXsOc	㓔
冫戊一火,GbMuDiRh	㓕
冫田艹,GbCtZcOs	㓖
冫丰刀糸,GbJfNdFs	㓗
几歹王丶,QjSdRwOd	㓘
文凵,LwJk	㓙
工刂,LgNd	㓚
工刀,LgNd	㓛
幺刀,DyNd	㓜
井刂,VjNd	㓝
丰刀,JfNd	㓞
皮刂,NpNd	㓟
⺊口刂,FbKkNd	㓠
缶刂,TfNd	㓡
各刂,KgNd	㓢
亼口刂,ZiKkNd	㓣
士口刂,JsKkNd	㓤
⺌彐刂,IxWjNd	㓥
一白刂,DiJbNd	㓦
亽ヿ口刂,ZiAeKkNd	㓧
大人人刂,IdHrHrNd	㓨
⺈用刂,DdGyNd	㓩
丶刀,OdPgNd	㓪
大一廾刂,IdDiZcNd	㓫
丷夫刀刂,NbGfNdNd	㓬
日勹亾刂,UrAkNwNd	㓭
⺆土口刂,JkEtKkNd	㓮
巛田刂,KcCtNd	㓯
一田凵刂,DiCtJkNd	㓰
亼⺝刂刂,ZiFyNdNd	㓱
户𠕁刂,DhYcNd	㓲
日疋刂,UrEsNd	㓳
而大刂,KeIdNd	㓴
{双口}二ㄅ刂,PxNeAeNd	㓵
丰刀大刂,JfNdIdNd	㓶
自木刂,ViYmNd	㓷
刂,OyNd	㓸
厂火火刂,UcRhRhNd	㓹
虍文刂,ShLwNd	㓺
罒一止刂,BsDiLiNd	㓻
木人氺刂,YmHrMsNd	㓼
山宀示刂,UsGgLsNd	㓽
尸氺牛刂,FsMsXnNd	㓾
禾人氺刂,BhHrMsNd	㓿
日小刂,UrQgIxNd	㔀
癶豆刂,NbGdNd	㔁
米夕㐄刂,FmVxLkNd	㔂
糹⺈巴刀,FsDdBbNd	㔃
覀米刂,UxFmNd	㔄
肀片爿一刂,IvJpJpNd	㔅
旡旡日刂,CuCuUrNd	㔆
癶弓殳刂,NbCgRsNd	㔇
艹非刂,ZcLfNd	㔈
尸丿口⽱刂,FsTpKkNd	㔉
亠囗口日一刂,LtAkKkNd	㔊
臣皿刂,EcJuHmNd	㔋
耳又丿刂,VeTyTpNd	㔌
⺮目廾刂,JuEmZcNd	㔍
丿㠯辛刀,McTpTiNd	㔎
石石石刂,DsDsDsNd	㔏
⺮一非一刂,JuDiLfNd	㔐
艹丿㠯辛刀,ZcTpTiNd	㔑
山隹冂八口刂,UsMiJkNd	㔒
千力,NqCl	㔓
力口〇,ClKkKk	㔔
气力,IqCl	㔕
力口ヿ,ClKkAe	㔖
弗力,XfCl	㔗
屮凵力,McJkCl	㔘
䒑廾力,NbZcCl	㔙
舌力,WsCl	㔚
士口力,JsKkCl	㔛
爫子力,IaHiCl	㔜
