㐀	21{卢字头}1
㜲	女{赢字框}女
㜳	女{衣框}罒{飞无折}
㜴	女艹罒目
㜵	女{衣框}馬
㜶	女{免五}{比字旁}兔
㜷	弓1八女
㜸	艹3㠯女
㜹	女目目隹
㜺	女{告字头}儿貝
㜻	女言糹心
㜼	女田田且
㜽	巛子
㜾	子{全字头}{乔字底}
㜿	子予
㝀	母子
㝁	勹日子
㝂	子扌斤
㝃	子{免五}{见字底}
㝄	{享字头}子1{屯无横}
㝅	士冖1殳
㝆	子壴口
㝇	{享字头}子{享字头}子
㝈	言糹糹子
㝉	宀1
㝊	宀又
㝋	宀了
㝌	宀{久二}4
㝍	宀151
㝎	宀之
㝏	宀{全字头}{乔字底}
㝐	宀八厶
㝑	宀方
㝒	宀古
㝓	宀亼口
㝔	宀六乂
㝕	宀心又
㝖	宀夕夕
㝗	宀4艮
㝘	宀言
㝙	宀王{共字底}
㝚	宀3{延字心无撇}廴
㝛	宀亻1人
㝜	宀龷日
㝝	宀木木
㝞	宀三22
㝟	宀1見
㝠	宀日六
㝡	宀耳又
㝢	宀3口{禺下}
㝣	宀丰刀大
㝤	宀{寒字腰无横}{噩字框}冂
㝥	宀爿米
㝦	宀隹乃
㝧	宀女人土
㝨	宀土口{衣省}
㝩	宀广{聿三}氺
㝪	宀土{南字心}丸
㝫	宀阝夂生
㝬	宀丰口夫
㝭	宀忄日生
㝮	宀屮凵又
㝯	宀3大口
㝰	宀自穴方
㝱	宀爿艹夕
㝲	宀爿艹巾
㝳	寸{横两点}
㝴	二{见字底}寸
㝵	日1寸
㝶	罒儿寸
㝷	彐工丸寸
㝸	小白儿
㝹	{少三}3兔
㝺	䒑{聿三}{兼无䒑无彐}3
㝻	廿口龶3
㝼	尢1{于无横}
㝽	尢水
㝾	尢{左字框}工
㝿	尢皮
㞀	尢{左字框}火
㞁	尢日匕
㞂	尢爫女
㞃	谷尤
㞄	尢大日5
㞅	尢田木
㞆	尢大可
㞇	尢田1{畏字底}
㞈	尢户{扁字心}
㞉	尢{差字头}工
㞊	屮凵示尢
㞋	尸又
㞌	尸子
㞍	尸丸
㞎	尸巴
㞏	尸3之
㞐	尸立
㞑	尸冫{飞无折}5
㞒	尸自
㞓	尸匕日
㞔	尸夕夕
㞕	尸八{青字底}
㞖	尸{木框}冂
㞗	尸1氺4
㞘	尸豕4
㞙	尸毛水
㞚	尸千臼
㞛	尸彳匕日
㞜	尸彳禾女
㞝	戊{卢字头}1尸
㞞	尸彳人龰
㞟	尸丷酉大
㞠	尸大丷小
㞡	尸工工{衣省}
㞢	屮1
㞣	屮八刀
㞤	山人
㞥	山入
㞦	山几
㞧	山乃
㞨	山子
㞩	山几4
㞪	{录字头}山
㞫	山之
㞬	山工
㞭	大山
㞮	山{尔字头}
㞯	己山
㞰	山{卧人}十
㞱	山日
㞲	山口2
㞳	山斗
㞴	山氏
㞵	山文
㞶	山文
㞷	屮王
㞸	山不
㞹	山可
㞺	山矢
㞻	山口15
㞼	5水山
㞽	山戉
㞾	山尸匕
㞿	山土乂
㟀	禾山
㟁	山厂干
㟂	山母
㟃	山51口
㟄	山羊
㟅	山乂凵儿
㟆	山亻{化字边}十
㟇	山人人土
㟈	山1氺4
㟉	山宀牛
