㐀	21{卢字头}1
殇	歹{卧人}5{横两撇}
殈	歹3皿
殉	歹勹日
殊	歹3未
残	歹1戈
殌	歹1巛工
殍	歹爫子
殎	歹大人人
殏	歹1氺4
殐	歹束
殑	歹古{见字底}
殒	歹口贝
殓	歹亼{学字头}1
殔	歹{聿三}氺
殕	歹立口
殖	歹十{具字头无横}1
殗	歹大日5
殘	歹戈戈
殙	歹氏日
殚	歹丷田十
殛	歹了口1
殜	歹廿5木
殝	歹{寿字头}4禾
殞	歹口貝
殟	歹日皿
殠	歹自犬
殡	歹宀{丘无横}{共字底}
殢	歹廿{见字底}巾
殣	歹廿口龶
殤	歹{卧人}日{横两撇}
殥	歹宀1八
殦	歹鳥
殧	歹{享字头}小尤
殨	歹{贵字头}貝
殩	歹歺又米
殪	歹士冖豆
殫	歹吅田十
殬	歹罒土{南字心}
殭	歹1田1
殮	歹僉
殯	歹宀1貝
殰	歹士罒貝
殱	歹十戈1
殲	歹人人1
殳	殳
殴	匚乂殳
段	{段字旁无横}1殳
殶	4王殳
殷	㐆殳
殸	士{眉字框}殳
殹	匚矢殳
殺	乂朩殳
殻	士冖几殳
殼	士冖1殳
殽	乂{左字框}{青字底}殳
殾	耂日殳
殿	尸龷八殳
毀	臼土殳
毁	臼工殳
毂	士冖{车旁}殳
毃	高殳
毄	車口殳
毅	立{豕省}殳
毆	匚口吅殳
毇	臼米殳
毈	卵{段字旁无横}1殳
毉	匚矢殳人
毊	士{眉字框}殳口
毋	毋
毌	毌
母	母
毎	{卧人}毌
每	{卧人}母
毐	士毋
毑	母也
毒	龶母
毓	{卧人}母{充字头}{荒字底}
比	{比字旁}匕
毕	{比字旁}匕十
毖	{比字旁}匕心3
毗	田{比字旁}匕
毘	田{比字旁}匕
毙	{比字旁}匕歹匕
毚	{免五}{比字旁}匕兔
毛	毛
毜	毛小
毝	毛彡
毞	{比字旁}匕毛
毟	{少三}3毛
毠	力口毛
毡	毛{卢字头}口
毢	毛西
毣	羽毛
毤	八厶儿毛
毥	毛勹日
毦	耳毛
毧	毛戈{左字框}
毨	毛{告字头}儿
毩	毛米
毪	毛厶牛
毫	{亮字头}毛
毬	毛1氺4
毭	豆毛
毮	扌{少三}3毛
毯	毛火火
毰	毛立口
毱	毛勹米
毲	又又又毛
毳	毛毛毛
毴	毛非
毵	厶大彡毛
毶	毛厶大彡
毷	{冒字头}目毛
毸	毛田心
毹	亼{青字底}刂毛
毺	毛亼{青字底}刂
毻	{左字框}工{青字底}毛
毼	日勹亾毛
毽	毛聿廴
毾	日羽毛
毿	厶厶厶毛
氀	口十口毛
氁	毛艹日大
氂	未攵厂毛
氃	立里毛
氄	予3冂毛
氅	尚攵毛
氆	毛䒑业日
氇	毛鱼日
氈	亠囗口毛
氉	口吅木毛
氊	毛亠囗1
氋	艹冖1毛
氌	毛魚日
氍	目目隹毛
氎	田田田毛
氏	氏
氐	氏4
民	民
氒	氏十
氓	亡民
气	气
氕	气3
氖	气乃
気	气㐅
氘	气{乔字底}
氙	气山
氚	气川
氛	气八刀
氜	气日
氝	气冂人
氞	气1冂人
氟	气弗
氠	气日2
氡	气夂{冬字底}
氢	气{经右角}工
氣	气米
氤	气囗大
氥	气西
氦	气亥
氧	气羊
氨	气宀女
氩	气1业
氪	气古{见字底}
氫	气1巛工
氬	气三22
氭	气束1
氮	气火火
氯	气{录字头}氺
氰	气龶{青字底}
氱	气日1{横两撇}
氲	气日皿
氳	气囗人皿
水	水
氵	氵
氶	5水
氷	4水
永	4{永无点}
氹	6水
氺	氺
氻	氵力
氼	水人
氽	{全字头}水
氾	氵㔾
氿	氵九
汀	氵丁
汁	氵十
求	1氺4
汃	氵八
汄	氵人
汅	氵15
汆	入水
汇	氵匚
汈	氵51
汉	氵又
汊	氵又4
汋	氵勹4
汌	氵川
汍	氵丸
汎	氵几4
汏	氵大
汐	氵夕
汑	氵3七
汒	氵亡
汓	氵子
汔	氵{卧人}6
汕	氵山
汖	山水
汗	氵干
汘	氵千
汙	氵1{于无横}
汚	氵二5
汛	氵5十
汜	氵巳
汝	氵女
汞	工水
江	氵工
池	氵也
污	氵二5
汢	氵土
汣	氵{久二}4
汤	氵5{横两撇}
汥	氵支
汦	氵氏
汧	氵1廾
汨	氵日
汩	氵曰
汪	氵王
汫	氵井
汬	井水
汭	氵冂人
汮	氵勹冫
汯	氵{左字框}厶
汰	氵大4
汱	氵犬
汲	氵及
汳	氵{反字框}又
汴	氵亠卜
汵	氵亽5
汶	氵文
汷	氵夂
汸	氵方
汹	氵乂凵
決	氵{候右角}人
汻	氵{卧人}十
汼	氵牛
汽	氵气
汾	氵八刀
汿	氵予
沀	水予
沁	氵心
沂	氵斤
沃	氵3大
沄	氵云
沅	氵二{见字底}
沆	氵亠几
沇	氵厶儿
沈	氵冖{见字底}
沉	氵冖几
沊	冖{见字底}水
沋	氵尤
沌	氵1{屯无横}
沍	氵1彑
沎	氵亻{化字边}
沏	氵七刀
沐	氵木
沑	氵5{里无日}
沒	氵勹又
沓	水日
沔	氵125
沕	氵勹{横两撇}
沖	氵口2
沗	1大氺
沘	氵{比字旁}匕
沙	氵{少三}3
沚	氵止
沛	氵1巾
沜	氵片
沝	水水
沞	氵1巾
沟	氵勹厶
沠	氵爪
没	氵殳
沢	氵尸4
沣	氵丰
沤	氵匚乂
沥	氵厂力
沦	氵仑
沧	氵{全字头}㔾
沨	氵{风省}乂
沩	氵4{为字框}4
沪	氵户
沫	氵1木
沬	氵未
沭	氵木4
沮	氵且
沯	水石
沰	氵石
沱	氵宀匕
沲	氵{卧人}也
河	氵可
沴	氵{全字头}彡
沵	氵{尔字头}小
沶	氵示
沷	氵{左字框}又4
沸	氵弗
油	氵由
沺	氵田
治	氵厶口
沼	氵刀口
沽	氵古
沾	氵{卢字头}口
沿	氵几口
泀	氵51口
況	氵口儿
泂	氵冂口
泃	氵句
泄	氵廿5
泅	氵囗人
泆	氵3夫
泇	氵力口
泈	氵夂{冬字底}
泉	白水
泊	氵白
泋	氵十廾
泌	氵心3
泍	氵木1
泎	氵乍
泏	氵屮凵
泐	氵阝力
泑	氵幺力
泒	氵瓜
泓	氵弓厶
泔	氵甘
法	氵土厶
泖	氵卯
泗	氵四
泘	氵3丷{于无横}
泙	氵干丷
泚	氵止匕
泛	氵3之
泜	氵氏4
泝	氵斤4
泞	氵宀丁
泟	氵1{止变}
泠	氵亽龴
泡	氵勹巳
波	氵皮
泣	氵立
泤	氵{以字旁}人
泥	氵尸匕
泦	氵尸九
泧	氵戉
注	氵4王
泩	氵生
泪	氵目
泫	氵亠幺
泬	氵穴
泭	氵亻寸
泮	氵丷{举字底}
泯	氵民
泰	{寿字头}4氺
泱	氵{见二}大
泲	氵{姊字边}
泳	氵4{永无点}
泴	水皿
泵	石水
泶	{学字头}冖水
泷	氵龙
泸	氵{卢字头}尸
泹	氵日1
泺	氵{乐二}小
泻	氵冖11
泼	氵{发二}又4
泽	氵又{举字底}
泾	氵{经右角}工
泿	氵艮
洀	氵舟
洁	氵士口
洂	氵亠{亦字底}
洃	氵{左字框}火
洄	氵囗口
洅	氵{噩字框}冂
洆	氵5水1
洇	氵囗大
洈	氵{负字头}厂㔾
洉	氵{反字框}1口
洊	氵{左字框}2子
洋	氵羊
洌	氵歹刂
洍	氵{颐字旁}
洎	氵自
洏	氵而
洐	氵行
洑	氵亻犬
洒	氵西
洓	氵{木框}冂
洔	氵土寸
洕	氵八{青字底}
洖	氵口1大
洗	氵{告字头}儿
洘	氵耂15
洙	氵3未
洚	氵夂㐄
洛	氵各
洜	各水
洝	氵宀女
洞	氵冂1口
洟	氵{大框}弓
洠	氵厶牛
洡	氵耒
洢	氵亻{聿三}3
洣	氵米
洤	氵{全字头}王
津	氵聿
洦	氵1白
洧	氵{左字框}{青字底}
洨	氵六乂
洩	氵日53
洪	氵龷八
洫	氵3皿
洬	氵{风省}歹
洭	氵匚王
洮	氵{见字底}冫{飞无折}
洯	丰刀水
洰	氵匚{叚右角}
洱	氵耳
洲	氵{横三点}川
洳	氵女口
洴	氵䒑廾
洵	氵勹日
洶	氵勹乂凵
洷	氵至
洸	氵光
洹	氵1日1
洺	氵夕口
活	氵舌
洼	氵土土
洽	氵亼口
派	氵{反字框}{旅下角}
洿	氵大二5
浀	氵曲
流	氵{充字头}{荒字底}
浂	氵䒑大
浃	氵夫丷
浄	氵{尔字头}{争字底}
浅	氵1戈
浆	丬夕水
浇	氵{尧字头}1{见字底}
浈	氵{卢字头}贝
浉	氵{师字旁}1巾
浊	氵虫
测	氵贝刂
浌	氵亻戈
浍	氵{全字头}云
济	氵齐
浏	氵文刂
浐	氵{立无横}厂
浑	氵冖车
浒	氵讠{卧人}十
浓	氵冖{衣省}
浔	氵彐寸
浕	氵尸4{冬字底}
浖	氵爫寸
浗	氵1氺4
浘	氵尸毛
浙	氵扌斤
浚	氵厶八夂
浛	氵亽5口
浜	氵{丘无横}{共字底}
浝	氵尤彡
浞	氵足
浟	氵亻2攵
浠	氵乂{左字框}巾
浡	氵十冖子
浢	氵豆
浣	氵宀二{见字底}
浤	氵宀{左字框}厶
浥	氵口巴
浦	氵甫
浧	氵口王
浨	氵宀木
浩	氵{告字头}口
浪	氵4艮
浫	氵冖八干
浬	氵里
浭	氵{凬字心}㐅
浮	氵爫子
浯	氵五口
浰	氵禾刂
浱	氵辰
浲	氵夂丰
浳	氵弋{青字底}
浴	氵谷
浵	氵{周字框}亠彡
浶	氵宀牛
海	氵{卧人}母
浸	氵彐冖又
浹	氵大人人
浺	氵忄口2
浻	氵冂八口
浼	氵{免五}{见字底}
浽	氵爫女
浾	氵土{亦字底}
浿	氵貝
涀	氵見
涁	氵木彡
涂	氵{全字头}{余字底}
涃	氵囗木
涄	氵由15
涅	氵日土
涆	氵日干
涇	氵1巛工
消	氵{尚字头}{青字底}
涉	氵止{步字底}
涊	氵刀4心
涋	氵宀犬
涌	氵龴{甬字底}
涍	氵耂子
涎	氵3{延字心无撇}廴
涏	氵3士廴
涐	氵3扌戈
涑	氵束
涒	氵{聿三}3口
涓	氵口{青字底}
涔	氵山亽5
涕	氵丷{弟省}
涖	氵亻立
涗	氵八口儿
涘	氵厶矢
涙	氵户大
涚	氵丷口儿
涛	氵{寿字头}寸
涜	氵士冖儿
涝	氵艹冖力
涞	氵未丷
涟	氵车辶
涠	氵囗韦
涡	氵口冂人
涢	氵口贝
涣	氵{负字头}{见二}大
涤	氵夂朩
涥	氵{享字头}了
润	氵门王
涧	氵门日
涨	氵弓长
涩	氵刀4止
涪	氵立口
涫	氵宀㠯
涬	氵土{南字心}
涭	氵爫冖又
涮	氵尸巾刂
涯	氵厂土土
涰	氵又又又
涱	氵{镸无厶}{畏字底}
液	氵亠亻{夜下角}
涳	氵穴工
涴	氵宀夕㔾
涵	氵5氺凵
涶	氵千艹士
涷	氵束1
涸	氵囗古
涹	氵禾女
涺	氵尸古
涻	氵{全字头}{舍字底}
涼	氵{享字头}小
涽	氵氏日
涾	氵水日
涿	氵豕4
淀	氵宀{定字底}
淁	氵立女
淂	氵日1寸
淃	氵丷夫㔾
淄	氵巛田
淅	氵木斤
淆	氵乂{左字框}{青字底}
淇	氵{其字头无横}{共字底}
淈	氵尸屮凵
淉	氵田木
淊	氵{负字头}臼
淋	氵木木
淌	氵尚
淍	氵{周字框}土口
淎	氵{寿字头}4{举字底}
淏	氵日1大
淐	氵日日
淑	氵{卢字头}1又
淒	氵1{妻字头无横}女
淓	氵艹方
淔	氵十{具字头无横}1
淕	氵土八土
淖	氵{卢字头}日十
淗	氵勹米
淘	氵勹缶
淙	氵宀示
淚	氵户犬
淛	氵牛巾刂
淜	氵月月
淝	氵月巴
淞	氵木八厶
淟	氵{典字头}{共字底}
淠	氵田丌
淡	氵火火
淢	氵戈口1
淣	氵臼儿
淤	氵方{全字头}{冬字底}
淥	氵彑氺
淦	氵金
淧	氵宀心3
淨	氵爫{争字底}
淩	氵土八夂
淪	氵侖
淫	氵爫3士
淬	氵亠人十
淭	氵户木
淮	氵隹
淯	氵{充字头}{青字底}
淰	氵亽5心
深	氵冖八木
淲	氵虎
淳	氵{享字头}子
淴	氵勹{横两撇}心
淵	氵{乔字底}{北字旁}5
淶	氵{木框}人人
混	氵日{比字旁}匕
淸	氵龶冂1
淹	氵大日5
淺	氵戈戈
添	氵1大{恭字底}
淼	水水水
淽	氵艹止
淾	金水
淿	氵白巾
渀	氵大十廾
渁	氵水水
渂	氵日文
渃	氵艹{左字框}口
渄	氵非
清	氵龶{青字底}
渆	氵䒑廾刂
渇	氵日勹匕
済	氵齐二
渉	氵止{少三}3
渊	氵{乔字底}米
渋	氵止冫{飞无折}
渌	氵{录字头}氺
渍	氵龶贝
渎	氵十5大
渏	氵大可
渐	氵{车旁}斤
渑	氵黾
渒	氵白3十
渓	氵爫夫
渔	氵鱼
渕	氵䒑大刂
渖	氵宀日2
渗	氵厶大彡
渘	氵予3木
渙	氵{负字头}{见二}大
渚	氵耂日
減	氵戊1口
渜	氵而大
渝	氵亼{青字底}刂
渞	氵䒑自
渟	氵{亮字头}丁
渠	氵匚{叚右角}木
渡	氵广廿又
渢	氵風
渣	氵木日1
渤	氵十冖力
渥	氵尸至
渦	氵咼
渧	氵{立无横}冖巾
渨	氵田1{畏字底}
温	氵日皿
渪	氵3口{禺下}
渫	氵廿5木
測	氵貝刂
渭	氵田{青字底}
渮	氵艹可
港	氵龷八巳
渰	氵亼口廾
渱	氵虫工
渲	氵宀11
渳	氵弓耳
渴	氵日勹亾
渵	氵艹田
渶	氵艹{见二}大
渷	氵亠八儿
游	氵方{卧人}子
渹	氵勹言
渺	氵目{少三}3
渻	氵{少三}3目
渼	氵{美字头}大
渽	氵十戈口
渾	氵冖車
渿	氵木示
湀	氵癶1大
湁	氵扌亼口
湂	氵吅二5
湃	氵龵1丰
湄	氵{眉字框}目
湅	氵束丷
湆	氵音
湇	氵立{青字底}
湈	氵甘木
湉	氵忄舌
湊	氵{寿字头}4大
湋	氵韋
湌	氵食
湍	氵山而
湎	氵面
湏	氵頁
湐	氵木白
湑	氵疋{青字底}
湒	氵口耳
湓	氵八刀皿
湔	氵䒑{青字底}刂
湕	氵聿廴
湖	氵古月
湗	氵土土寸
湘	氵木目
湙	氵亠{亦字底}大
湚	氵儿幺{青字底}
湛	氵{其字头无横}{共字底}5
湜	氵日{定字底}
湝	氵{比字旁}匕白
湞	氵{卢字头}貝
湟	氵白王
湠	氵山{左字框}火
湡	氵田{禺下}
湢	氵1口田
湣	氵民日
湤	氵方{卧人}也
湥	氵穴犬
湦	氵日生
湧	氵龴{甬字底}力
湨	氵目犬
湩	氵千里
湪	氵彑{豕省}
湫	氵禾火
湬	禾火水
湭	氵丷酉
湮	氵覀土
湯	氵日1{横两撇}
湰	氵夂1生
湱	氵丰石
湲	氵爫1又
湳	氵十冂{南字心}
湴	氵䒑业
湵	氵{美字头}{久二}4
湶	氵白水
湷	氵{寿字头}4日
湸	氵{亮字头}几
湹	氵厂里
湺	氵亻口木
湻	氵{享字头}日
湼	氵臼工
湽	氵1巛田
湾	氵亠{变字头无亠}弓
湿	氵日业
満	氵艹1山
溁	氵艹冖木
溂	氵束刂
溃	氵{贵字头}贝
溄	氵山夂{举字底}
溅	氵贝1戈
溆	氵{全字头}{余字底}又
溇	氵米女
溈	氵{刀中}5灬
溉	氵{即字旁}旡
溊	氵{叚字旁无二}二又
溋	氵乃又皿
溌	氵癶15
溍	氵1业日
溎	氵木土土
溏	氵广肀口
源	氵厂白小
溑	氵{尚字头}貝
溒	氵土口{衣省}
溓	氵䒑{聿三}{兼无䒑无彐}
溔	氵{美字头}灬
溕	氵冖1豕
準	氵隹十
溗	氵{禾框}{北字旁}匕
溘	氵土厶皿
溙	氵{寿字头}4氺
溚	氵艹亼口
溛	氵穴瓜
溜	氵{留字头}田
溝	氵{寒字腰无横}{噩字框}冂
溞	氵又4虫
溟	氵冖日六
溠	氵{差字头}工
溡	氵日土寸
溢	氵{益字头}皿
溣	氵亻侖
溤	氵馬
溥	氵甫寸
溦	氵山1攵
溧	氵覀木
溨	氵十戈木
溩	氵烏
溪	氵爫幺大
溫	氵囗人皿
溬	氵{差字头}5厶
溭	氵田八夊
溮	氵3㠯巾
溯	氵䒑䶹月
溰	氵山豆
溱	氵{寿字头}4禾
溲	氵臼2又
溳	氵口貝
溴	氵自犬
溵	氵㐆殳
溶	氵宀谷
溷	氵囗豕
溸	氵龶糸
溹	氵十冖糸
溺	氵弓冫冫
溻	氵日羽
溼	氵1幺土
溽	氵辰寸
溾	氵鬼
溿	氵田丷{举字底}
滀	氵亠幺田
滁	氵阝{全字头}{余字底}
滂	氵{立无横}冖方
滃	氵八厶羽
滄	氵亽尸口
滅	氵戊1火
滆	氵鬲
滇	氵十{具字头无横}{共字底}
滈	氵高
滉	氵日光
滊	氵气米
滋	氵䒑幺幺
滌	氵亻2朩
滍	氵屮1虫
滎	火火冖水
滏	氵八乂{金字底}
滐	氵夕㐄木
滑	氵骨
滒	氵可可
滓	氵宀辛
滔	氵爫臼
滕	月丷夫氺
滖	氵{衣框}口1
滗	氵{竹头}毛
滘	氵冖八口
滙	氵匚隹
滚	氵{衣框}八厶
滛	氵爫缶
滜	氵白大十
滝	氵立日5
滞	氵{带字头}冖巾
滟	氵丰{负字头}巴
滠	氵耳又又
满	氵艹两
滢	氵艹冖4
滣	氵辰口
滤	氵虍心
滥	氵{临字旁}{临右角}皿
滦	氵亠{变字头无亠}木
滧	氵六乂攵
滨	氵宀{丘无横}{共字底}
滩	氵又隹
滪	氵予页
滫	氵亻2{青字底}
滬	氵户口巴
滭	氵日龷十
滮	氵虎彡
滯	氵廿{见字底}巾
滰	氵音儿
滱	氵宀二攴
滲	氵厶厶彡
滳	氵{立无横}冂口
滴	氵{立无横}冂古
滵	氵宀心山
滶	氵敖
滷	氵{卢字头}{鹵字底}
滸	氵言{卧人}十
滹	氵虍3{于无横}
滺	氵亻2心
滻	氵{立无横}厂生
滼	氵木木4
滽	氵广肀{甬字底}
滾	氵{衣框}八口
滿	氵廿巾入
漀	士{眉字框}殳水
漁	氵魚
漂	氵覀示
漃	氵宀{卢字头}又
漄	氵山厂土
漅	氵巛田木
漆	氵木{全字头}氺
漇	氵彳止龰
漈	氵{祭字头}示
漉	氵鹿
漊	氵口十女
漋	氵阝夂生
漌	氵廿口龶
漍	氵囗戈1
漎	氵彳人龰
漏	氵尸雨
漐	土{南字心}丸水
漑	氵白{比字旁}旡
漒	氵弓口虫
漓	氵亠乂禸
演	氵宀1八
漕	氵1曲日
漖	氵耂子攵
漗	氵3囗心
漘	氵辰{青字底}
漙	氵{凬字心}{虫无口}寸
漚	氵匚口吅
漛	氵丷夫氺
漜	氵木木土
漝	氵羽白
漞	氵爫見
漟	氵{尚头}土
漠	氵艹日大
漡	氵{卧人}日{横两撇}
漢	氵廿口夫
漣	氵車辶
漤	氵木木女
漥	氵穴土土
漦	未攵厂水
漧	氵十日6
漨	氵夂丰辶
漩	氵方{卧人}疋
漪	氵犭大可
漫	氵日罒又
漬	氵龶貝
漭	氵艹犬廾
漮	氵广{聿三}氺
漯	氵田糸
漰	氵山月月
漱	氵束欠
漲	氵弓{镸无厶}{畏字底}
漳	氵音十
漴	氵山宀示
漵	氵{全字头}{余字底}攵
漶	氵口口心
漷	氵{享字头}子阝
漸	氵車斤
漹	氵1{止变}灬
漺	氵{大框}乂乂
漻	氵羽{全字头}彡
漼	氵山隹
漽	氵尸2牛
漾	氵{美字头}4{永无点}
漿	爿{然左角}寸水
潀	氵罒亻人
潁	匕水頁
潂	氵山䒑业
潃	氵彳夂{青字底}
潄	氵束攵
潅	氵{卧人}1隹
潆	氵艹冖糸
潇	氵艹肀八
潈	氵罒{豕省}
潉	氵山日匕
潊	氵{全字头}{余字底}攴
潋	氵亼{学字头}攵
潌	氵穴至
潍	氵纟隹
潎	氵㡀攵
潏	氵予3口
潐	氵隹灬
潑	氵癶弓殳
潒	氵象
潓	氵{凬字心}{虫无口}心
潔	氵丰刀糸
潕	氵{卧人}卌灬
潖	氵王王巴
潗	氵隹木
潘	氵3米田
潙	氵爫3灬
潚	氵肀{乔字底}5
潛	氵旡旡日
潜	氵夫夫日
潝	氵亼口羽
潞	氵{足旁}各
潟	氵臼勹灬
潠	氵巳巳八
潡	氵{享字头}子攵
潢	氵黄
潣	氵門文
潤	氵門王
潥	氵覀米
潦	氵大丷小
潧	氵丷囗日
潨	氵3皿{乑无撇}
潩	氵田龷八
潪	氵矢口日
潫	氵丷夫糸
潬	氵吅田十
潭	氵覀日十
潮	氵十日月
潯	氵彐工寸
潰	氵{贵字头}貝
潱	氵士冖豆
潲	氵禾{尚字头}{青字底}
潳	氵尸耂日
潴	氵犭耂日
潵	氵龷{青字底}攵
潶	氵黑
潷	氵{竹头}聿
潸	氵木木{青字底}
潹	氵木木木
潺	氵尸子子
潻	氵禾{全字头}氺
潼	氵立里
潽	氵䒑业日
潾	氵米夕㐄
潿	氵囗韋
澀	氵刀4止
澁	氵止止止
澂	氵山1攵
澃	彡頁水
澄	氵癶豆
澅	氵{聿三}土1
澆	氵土土{见字底}
澇	氵火火力
澈	氵{充字头}{青字底}攵
澉	氵5耳攵
澊	氵丷酉寸
澋	氵日{享字头}小
澌	氵{其字头无横}{共字底}斤
澍	氵壴寸
澎	氵壴彡
澏	氵口吅山
澐	氵{雨头}云
澑	氵1{临字旁}田
澒	氵工頁
澓	氵彳{卧人}夂
澔	氵白{告字头}口
澕	氵艹干龷
澖	氵門木
澗	氵門日
澘	氵木木日
澙	氵臼1灬
澚	氵3冂5
澛	氵鱼日
澜	氵门束丷
澝	氵宀心{甬字底}
澞	氵虍口大
澟	氵亠囗禾
澠	氵黽
澡	氵口吅木
澢	氵{尚头}田
澣	氵十日干
澤	氵罒土{南字心}
澥	氵{负字头}用牛
澦	氵予頁
澧	氵曲豆
澨	氵{竹头}工人
澩	{臼裂}乂乂水
澪	氵{雨头}亽龴
澫	氵艹田{禺下}
澬	氵冫欠貝
澭	氵亠乡隹
澮	氵亼{临下角}日
澯	氵歺又米
澰	氵僉
澱	氵尸龷殳
澲	氵业䒑未
澳	氵3冂大
澴	氵罒1{衣省}
澵	氵立朩斤
澶	氵亠囗1
澷	氵日罒方
澸	氵戊1心
澹	氵{负字头}厂言
澺	氵音心
澻	氵䒑{豕省}辶
澼	氵辟
澽	氵虍豕
澾	氵土羊辶
澿	氵木木示
激	氵白方攵
濁	氵罒勹虫
濂	氵广䒑{兼无䒑无彐}
濃	氵曲辰
濄	氵咼辶
濅	氵宀彐又
濆	氵十艹貝
濇	氵土人口
濈	氵口耳戈
濉	氵目隹
濊	氵止戊{步字底}
濋	氵木木疋
濌	千里水日
濍	氵艹勹心
濎	氵目{鼎左角}{鼎右角}
濏	氵王王3
濐	氵日耂日
濑	氵束{负字头}贝
濒	氵止{步字底}页
濓	氵{立无横}厂{兼无䒑无彐}
濔	氵1八乂
濕	氵日幺灬
濖	氵罒耂日
濗	氵艹日巾
濘	氵宀心丁
濙	氵火火火
濚	氵火火木
濛	氵艹冖豕
濜	氵肀1皿
濝	氵{其字头无横}{共字底}糸
濞	氵自田丌
濟	氵亠丷二
濠	氵{亮字头}豕
濡	氵{雨头}而
濢	氵羽亠十
濣	氵十日斗
濤	氵士5寸
濥	氵夕宀八
濦	氵爫工心
濧	氵业{美字头}寸
濨	氵䒑幺心
濩	氵艹隹又
濪	氵龶{青字底}巴
濫	氵臣{临右角}皿
濬	氵{歺变}{谷字头}目
濭	氵艹土皿
濮	氵亻业4
濯	氵羽隹
濰	氵糹隹
濱	氵宀1貝
濲	氵士冖殳
濳	氵{告字头}儿日
濴	氵火火水
濵	氵宀{眉字框}貝
濶	氵門舌
濷	水氵廿入
濸	氵艹亽口
濹	氵黑土
濺	氵貝戈戈
濻	氵阝{贵字头}貝
濼	氵白幺木
濽	氵夫夫貝
濾	氵虍田心
濿	氵厂艹{禺下}
瀀	氵三3夂
瀁	氵{差字头}4艮
瀂	氵魚日
瀃	氵貝日{横两撇}
瀄	氵{竹头}{即字旁}卩
瀅	氵火火4
瀆	氵士罒貝
瀇	氵广黄
瀈	氵羽冖車
瀉	氵宀臼灬
瀊	氵舟殳皿
瀋	氵宀3田
瀌	氵鹿灬
瀍	氵广里土
瀎	氵艹罒4
瀏	氵{留字头}金刂
瀐	氵十戈1
瀑	氵日龷氺
瀒	氵{木框}人口
瀓	氵{微字框}王
瀔	氵士冖殳
瀕	氵止{步字底}頁
瀖	氵{雨头}隹
瀗	氵宀丰心
瀘	氵虍田皿
瀙	氵立朩見
瀚	氵十日羽
瀛	氵{赢字框}女
瀜	氵鬲虫
瀝	氵厂禾止
瀞	氵龶{青字底}{争字底}
瀟	氵艹肀5
瀠	氵火火糸
瀡	氵阝{左字框}辶
瀢	氵{贵字头}貝辶
瀣	氵歺又1
瀤	氵{衣框}罒{飞无折}
瀥	氵羽高
瀦	氵豕耂日
瀧	氵立{青字底}{龍字边}
瀨	氵束{负字头}貝
瀩	氵禾几頁
瀪	{卧人}母攵水
瀫	氵士冖殳
瀬	氵束頁
瀭	氵車亼刂
瀮	氵{雨头}木木
瀯	氵火火口
瀰	氵弓1乂
瀱	氵罒厂刂
瀲	氵僉攵
瀳	氵艹亠灬
瀴	氵貝貝女
瀵	氵米田八
瀶	氵臣{卧人}吅
瀷	氵羽田八
瀸	氵人人1
瀹	氵侖口口
瀺	氵{免五}{比字旁}兔
瀻	氵十戈八
瀼	氵{衣框}吅1
瀽	氵宀{寒字腰无横}足
瀾	氵門束丷
瀿	氵{卧人}母糸
灀	氵{雨头}木目
灁	氵門白水
灂	氵爫罒寸
灃	氵山丰豆
灄	氵耳耳耳
灅	氵田田土
灆	氵艹臣皿
灇	氵业{南字心}又
灈	氵目目隹
灉	氵巛口隹
灊	氵旡旡鬲
灋	氵亠川厶
灌	氵艹吅隹
灍	氵門䒑欠
灎	氵曲豆皿
灏	氵日{享字头}页
灐	氵火火金
灑	氵1{丽下角}鹿
灒	氵{告字头}儿貝
灓	言糹糹水
灔	氵曲豆巴
灕	氵亠乂隹
灖	氵麻非
灗	氵虫亠1
灘	氵廿口隹
灙	氵{尚头}黑
灚	氵{臼裂}乂見
灛	氵門吅十
灜	氵{赢字框}貝
灝	氵日{享字头}頁
灞	氵{雨头}革月
灟	氵尸2虫
灠	氵臣{临右角}見
灡	氵艹門丷
灢	氵十口{衣省}
灣	氵言糹弓
灤	氵言糹木
灥	白水白水
灦	氵日幺頁
灧	氵山丰巴
灨	氵音十貝
灩	氵山丰皿
灪	氵木缶彡
火	火
灬	灬
灭	1火
灮	火儿
灯	火丁
灰	{左字框}火
灱	火刀
灲	火刂
灳	勹火
灴	火工
灵	彐火
灶	火土
灷	火廾
灸	{久二}4火
灹	火3七
灺	火也
灻	土火
灼	火勹4
災	巛火
灾	宀火
灿	火山
炀	火5{横两撇}
炁	旡灬
炂	火八厶
炃	八刀火
炄	火5{里无日}
炅	日火
炆	火文
炇	火攵
炈	火殳
炉	火户
炊	火欠
炋	火不
炌	火{全字头}{乔字底}
炍	火{反字框}又
炎	火火
炏	火火
炐	火丰
炑	火木
炒	火{少三}3
炓	火斗
炔	火{候右角}人
炕	火亠几
炖	火1{屯无横}
炗	廿火
炘	火斤
炙	{然左角}火
炚	日火
炛	火亻{化字边}
炜	火韦
炝	火{全字头}㔾
炞	火亠卜
炟	火日1
炠	火甲
炡	火1{止变}
炢	火木4
炣	火可
炤	火刀口
炥	火弗
炦	火{左字框}又4
炧	火{卧人}也
炨	火宀匕
炩	火亽龴
炪	火屮凵
炫	火亠幺
炬	火匚{叚右角}
炭	山{左字框}火
炮	火勹巳
炯	火冂口
炰	勹巳灬
炱	厶口火
炲	火厶口
炳	火1冂人
